id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url
1068556858124787712,1068556858124787712,1543598782000,2018-11-30,10:26:22,MST,120829210,luckyevan,evanjin,,我顶了一个 @YouTube 视频  http://youtu.be/JSyDnB8_mlI?a  袁腾飞聊基因编辑婴儿:法律伦理全然不顾,['youtube'],['http://youtu.be/JSyDnB8_mlI?a'],[],0,0,0,,[],https://twitter.com/luckyevan/status/1068556858124787712,,
1068548255372447745,1068152944426737666,1543596731000,2018-11-30,09:52:11,MST,3433893172,frankchen58910,Frank Chen,,中共原本想把“基因编辑”作为G20前的重大科技成果向美国和全世界显摆，没想到却招到全世界的唾弃。现在问题是不知道中共还有哪些“重大成果”正在进行中。需要联合国派调查组进驻中国，确保没有类似的危害人类的研究项目,"['voayuwen', 'voachinese']",[],[],0,1,1,,[],https://twitter.com/Frankchen58910/status/1068548255372447745,,
1068542369673433088,1068002020127199232,1543595328000,2018-11-30,09:28:48,MST,1032110338777473029,thomas40014588,gu-ri-ko,,修火车：破坏风水 会遭天谴的。试管婴儿：到底孩子的妈妈是谁？转基因食品：吃了会不育种族灭亡的。。。科学是发展的，人类文明也是在发展的。只要立法管控好，基因编辑就是个可以造福人类的工具，关键是使用得当。,['jun008weibo'],[],[],0,0,0,,[],https://twitter.com/thomas40014588/status/1068542369673433088,,
1068539536718921729,1068532587721867265,1543594652000,2018-11-30,09:17:32,MST,91661819,caichu88,Cai Chu,,【真理部】第二届人类基因组编辑峰会和基因编辑婴儿 关于第二届人类基因组编辑峰会和基因编辑婴儿相关报道，请严格规范稿源，如报道，只可使用权威部门发布内容，不自采自编，不弹窗推送，严管有害评论跟帖。  https://chinadigitaltimes.net/chinese/2018/11/%E3%80%90%E7%9C%9F%E7%90%86%E9%83%A8%E3%80%91%E7%AC%AC%E4%BA%8C%E5%B1%8A%E4%BA%BA%E7%B1%BB%E5%9F%BA%E5%9B%A0%E7%BB%84%E7%BC%96%E8%BE%91%E5%B3%B0%E4%BC%9A%E5%92%8C%E5%9F%BA%E5%9B%A0%E7%BC%96%E8%BE%91/ …,,['https://chinadigitaltimes.net/chinese/2018/11/%E3%80%90%E7%9C%9F%E7%90%86%E9%83%A8%E3%80%91%E7%AC%AC%E4%BA%8C%E5%B1%8A%E4%BA%BA%E7%B1%BB%E5%9F%BA%E5%9B%A0%E7%BB%84%E7%BC%96%E8%BE%91%E5%B3%B0%E4%BC%9A%E5%92%8C%E5%9F%BA%E5%9B%A0%E7%BC%96%E8%BE%91/'],[],0,3,1,,[],https://twitter.com/caichu88/status/1068539536718921729,,
1068538685694582785,1068538685694582785,1543594449000,2018-11-30,09:14:09,MST,92350971,meiguocankao,连线美国.美国参考,,基因编辑婴儿诞生为什么引发如此大的反对和质疑？ | 雾谷飞鸿  https://share.america.gov/zh-hans/why-does-the-genome-edited-baby-claim-provoke-outcry/#.XAFhz1KJLy0.twitter …,,['https://share.america.gov/zh-hans/why-does-the-genome-edited-baby-claim-provoke-outcry/#.XAFhz1KJLy0.twitter'],[],0,0,1,,[],https://twitter.com/MeiGuoCanKao/status/1068538685694582785,,
1068536146907385856,1068536146907385856,1543593844000,2018-11-30,09:04:04,MST,1402097694,sliangq,沈良庆,,我强调的是正当程序原则，即对于涉及人类基因编辑的科研活动要经过医学伦理的充分论证和公开讨论，按照法定程序进行，不能任由某些机构和个人出于某种机会主义需要胡作非为，对于违规机构和个人必须严格问责绝不姑息。,,[],[],1,0,3,,[],https://twitter.com/sliangq/status/1068536146907385856,,
1068535141235154945,1068535141235154945,1543593604000,2018-11-30,09:00:04,MST,2574169418,soundofhope_soh,希望之聲 - 中國時局,,【贺建奎对“基因编辑婴儿”感到骄傲的深层原因】 面对中外科学家的猛烈抨击，贺建奎没有一丝一毫的羞愧，相反，坚称自己所做的事是对的，他为此感到骄傲。这到底是为什么？  https://www.soundofhope.org/gb/2018/11/29/n2432719.html … pic.twitter.com/MX1IDwzLue,,['https://www.soundofhope.org/gb/2018/11/29/n2432719.html'],['https://pbs.twimg.com/media/DtQzDB9XoAAtIZs.jpg'],0,1,2,,[],https://twitter.com/SoundOfHope_SOH/status/1068535141235154945,,
1068532274449149952,1068532274449149952,1543592921000,2018-11-30,08:48:41,MST,1042060744848596993,ryanhng1,宝康殿下,,刁老板要选接班人？宪法白改了？如果是幼儿园里找倒是合情合理，殡天以后正好接得上手，不过最近我国基因编辑技术又突破性进展了，估计执政期能大幅度延长，还是物色一下接班人爸妈吧  https://twitter.com/mingjingwang/status/1067941589845065728 …,,['https://twitter.com/mingjingwang/status/1067941589845065728'],[],0,0,0,,[],https://twitter.com/Ryanhng1/status/1068532274449149952,,https://twitter.com/mingjingwang/status/1067941589845065728
1068532164206055424,1068532164206055424,1543592894000,2018-11-30,08:48:14,MST,2788532124,chinaminbao,中国民报,,官方疑放弃力挺基因编辑诞双胞胎女婴民族骄傲 陷过街老鼠  http://dlvr.it/QsVRBP  pic.twitter.com/GxoUvfi42I,,['http://dlvr.it/QsVRBP'],['https://pbs.twimg.com/media/DtQwVcKUcAAhsxa.jpg'],0,0,1,,[],https://twitter.com/chinaminbao/status/1068532164206055424,,
1068532126004334593,1068532126004334593,1543592885000,2018-11-30,08:48:05,MST,1402097694,sliangq,沈良庆,,【包括医学伦理在内的伦理规范或可与时俱进，不同时代会有不同的行为规则，但是这些进化生成的行为规则对于维系正常人际关系甚至人类生存关系重大不可或缺，理应得到尊重和保守，而不是采取不负责任的胡作非为怎么都行】基因编辑委会批不符规范　贺建奎没出席专家讨论去向未明  https://www.rfa.org/cantonese/news/htm/hk-genetic-11292018074746.html?encoding=simplified …,,['https://www.rfa.org/cantonese/news/htm/hk-genetic-11292018074746.html?encoding=simplified'],[],0,0,0,,[],https://twitter.com/sliangq/status/1068532126004334593,,
