,time_stamp,text,HASHTAG,count_hashtag
7274,2018-03-14,Interesting @MENTION article outlining the benefits & risks of doing Restorative Justice with Sexual Violence:  @LINK .Lots of overlap with Director Lucy's blog on #MeToo and #RestorativeJustice:  @LINK Good to see this conversation happening.,['RESTORATIVEJUSTICE'],1
7275,2018-03-14,@MENTION The key word in that movement (#METOO) is “ME” if they can’t speak out against these atrocities in Great Britain. Talking and thinking about such things may lead to some uncomfortable realizations.....perhaps why the silence.,[],0
7276,2018-03-14,What #Metoo Means For Business  @LINK  #HR #Law,"['HR', 'LAW']",2
7277,2018-03-14,"@MENTION I, as a woman, felt compelled to tell you, I'm a part of #notme (we don't support what #MeToo has become)! I 100% agree with your opinions you've had! Not all women are crazy lol you have my support!!! #mattdamon #FreedomOfSpeech #Constitution","['NOTME', 'MATTDAMON', 'FREEDOMOFSPEECH', 'CONSTITUTION']",4
7278,2018-03-14,"""Merveilleux climat ambiant.""J'imagine qu'il parle de tout ce qui est #MeToo et autre mouvement de libération de la parole de la femme. Le mec a purgé sa peine mais n'a pas appris ce que c'était que l'indécence.  pic.twitter.com/T37CC83dRw",[],0
7279,2018-03-14,#MeToo,[],0
7280,2018-03-14,@MENTION @MENTION #metoo is een scheet,[],0
7281,2018-03-14,#MeToo #TimesUp @LINK …,['TIMESUP'],1
7282,2018-03-14,"#MeToo will have staying power, Ruth Bader Ginsburg insists  @LINK … pic.twitter.com/8EQVaLYfVl",[],0
7283,2018-03-14,Selective outrage about abuse... #MeToo #themtoo | Quand les dénonciations d'abus sont sélectives... @LINK …,['THEMTOO'],1
7284,2018-03-14,At least the Denver Post nails the headline.Denver mayor harassment scandal: City Council says further investigation unnecessary after closed-door briefingKey words: Denver mayor harassment scandal and closed-door briefing#copolitics #HancockScandal #metoo  pic.twitter.com/BfoRVkc7Ax,"['COPOLITICS', 'HANCOCKSCANDAL']",2
7285,2018-03-14,#NationalWalkoutDay #DemocratDomesticTerrorists funding children demonstrations #Antifa #BLM #PlannedParenthood #MeToo #FalseFlags #AustinBombings #BostonBombing #SandyHook #UraniumOne #EMailGate #Propaganda #Racism #Benghazi #FastAndFurious @MENTION @MENTION #MAGA  ! @LINK …,"['NATIONALWALKOUTDAY', 'DEMOCRATDOMESTICTERRORISTS', 'ANTIFA', 'BLM', 'PLANNEDPARENTHOOD', 'FALSEFLAGS', 'AUSTINBOMBINGS', 'BOSTONBOMBING', 'SANDYHOOK', 'URANIUMONE', 'EMAILGATE', 'PROPAGANDA', 'RACISM', 'BENGHAZI', 'FASTANDFURIOUS', 'MAGA']",16
7286,2018-03-14,Imagine finding out you lost your job because you didn't sleep with your boss! These things also happen. #metoo #TimesUp @MENTION @MENTION @LINK …,['TIMESUP'],1
7287,2018-03-14,The latest American Man Daily!  @LINK … #nofeelings #metoo,['NOFEELINGS'],1
