,time_stamp,text,sentence,num_sentence,average_sentence_length,tokens,count_tokens
2513,2018-03-18,He añadido un vídeo a una lista de reproducción de @MENTION ( @LINK  - ABUSO SEXUAL INFANTIL #MeToo · Yaiza,['He añadido un vídeo a una lista de reproducción de @MENTION ( @LINK\xa0 - ABUSO SEXUAL INFANTIL #MeToo · Yaiza'],1,17,"['He', 'añadido', 'un', 'vídeo', 'a', 'una', 'lista', 'de', 'reproducción', 'de', '@MENTION', '@LINK', 'ABUSO', 'SEXUAL', 'INFANTIL', 'MeToo', 'Yaiza']",17
2514,2018-03-18,The latest Daily Twitter Tidbits!  @LINK … #metoo #cnnsotu,"['The latest Daily Twitter Tidbits!', '@LINK\xa0… #metoo #cnnsotu']",2,4,"['The', 'latest', 'Daily', 'Twitter', 'Tidbits', '@LINK', 'metoo', 'cnnsotu']",8
2515,2018-03-18,How #MeToo is this song by Akon?? With a guy who's last name is Feldt  @MENTION @MENTION @LINK ,"['How #MeToo is this song by Akon??', ""With a guy who's last name is Feldt  @MENTION @MENTION @LINK""]",2,10,"['How', 'MeToo', 'is', 'this', 'song', 'by', 'Akon', 'With', 'a', 'guy', 'who', 's', 'last', 'name', 'is', 'Feldt', '@MENTION', '@MENTION', '@LINK']",19
2516,2018-03-18,Barbra Streisand Says No #MeToo Moment Marred Her Life  @LINK …,['Barbra Streisand Says No #MeToo Moment Marred Her Life  @LINK\xa0…'],1,10,"['Barbra', 'Streisand', 'Says', 'No', 'MeToo', 'Moment', 'Marred', 'Her', 'Life', '@LINK']",10
2517,2018-03-18,"""Sam-didn't U read #NunesFakeMemo? All traitors need to be on same page or we all hang. Forget Mueller. I'm Tsar now."" DJT#TrumpRussia #TrumpColluded #NeverAgain #Charlottesville #BlackLivesMatter #WomensMarch #MeToo #TheResistance @LINK …","['""Sam-didn\'t U read #NunesFakeMemo?', 'All traitors need to be on same page or we all hang.', 'Forget Mueller.', 'I\'m Tsar now.""', 'DJT#TrumpRussia #TrumpColluded #NeverAgain #Charlottesville #BlackLivesMatter #WomensMarch #MeToo #TheResistance @LINK\xa0…']",5,7,"['Sam', 'didn', 't', 'U', 'read', 'NunesFakeMemo', 'All', 'traitors', 'need', 'to', 'be', 'on', 'same', 'page', 'or', 'we', 'all', 'hang', 'Forget', 'Mueller', 'I', 'm', 'Tsar', 'now', 'DJT', 'TrumpRussia', 'TrumpColluded', 'NeverAgain', 'Charlottesville', 'BlackLivesMatter', 'WomensMarch', 'MeToo', 'TheResistance', '@LINK']",34
2518,2018-03-18,#MeToo is not enough: it has yet to shift the power imbalances that would bring about gender equality  @LINK … via @MENTION,['#MeToo is not enough: it has yet to shift the power imbalances that would bring about gender equality  @LINK\xa0… via @MENTION'],1,21,"['MeToo', 'is', 'not', 'enough', 'it', 'has', 'yet', 'to', 'shift', 'the', 'power', 'imbalances', 'that', 'would', 'bring', 'about', 'gender', 'equality', '@LINK', 'via', '@MENTION']",21
2519,2018-03-18,Barbra Streisand Says No #MeToo Moment Marred Her Life: LOS ANGELES (AP) — Barbra Streisand said…  @LINK   @LINK ,['Barbra Streisand Says No #MeToo Moment Marred Her Life: LOS ANGELES (AP) — Barbra Streisand said…  @LINK\xa0  @LINK'],1,17,"['Barbra', 'Streisand', 'Says', 'No', 'MeToo', 'Moment', 'Marred', 'Her', 'Life', 'LOS', 'ANGELES', 'AP', 'Barbra', 'Streisand', 'said', '@LINK', '@LINK']",17
2520,2018-03-18,"The victimization of incarcerated women, many who were victimized in childhood is a clear #feminist issue. #metoo #feminism @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @LINK …","['The victimization of incarcerated women, many who were victimized in childhood is a clear #feminist issue.', '#metoo #feminism @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @MENTION @LINK\xa0…']",2,13,"['The', 'victimization', 'of', 'incarcerated', 'women', 'many', 'who', 'were', 'victimized', 'in', 'childhood', 'is', 'a', 'clear', 'feminist', 'issue', 'metoo', 'feminism', '@MENTION', '@MENTION', '@MENTION', '@MENTION', '@MENTION', '@MENTION', '@MENTION', '@LINK']",26
2521,2018-03-18,#SuspendJohri even if it was one student speaking against him. There are 9 reporting #sexualharassment at #JNU . #MeToo #TimeIsNow #INeverAskForIt @MENTION @LINK …,"['#SuspendJohri even if it was one student speaking against him.', 'There are 9 reporting #sexualharassment at #JNU .', '#MeToo #TimeIsNow #INeverAskForIt @MENTION @LINK\xa0…']",3,8,"['SuspendJohri', 'even', 'if', 'it', 'was', 'one', 'student', 'speaking', 'against', 'him', 'There', 'are', '9', 'reporting', 'sexualharassment', 'at', 'JNU', 'MeToo', 'TimeIsNow', 'INeverAskForIt', '@MENTION', '@LINK']",22
2522,2018-03-18,"@MENTION @MENTION If they happen simultaneously, even better. Yes, we need to believe more in ourselves. Men need to understand it, too. If they don't, it creates an impasse. With the #MeToo movement in swing, it's a good time to get men thinking about ALL the misperceptions we've lived with.","['@MENTION @MENTION If they happen simultaneously, even better.', 'Yes, we need to believe more in ourselves.', 'Men need to understand it, too.', ""If they don't, it creates an impasse."", ""With the #MeToo movement in swing, it's a good time to get men thinking about ALL the misperceptions we've lived with.""]",5,11,"['@MENTION', '@MENTION', 'If', 'they', 'happen', 'simultaneously', 'even', 'better', 'Yes', 'we', 'need', 'to', 'believe', 'more', 'in', 'ourselves', 'Men', 'need', 'to', 'understand', 'it', 'too', 'If', 'they', 'don', 't', 'it', 'creates', 'an', 'impasse', 'With', 'the', 'MeToo', 'movement', 'in', 'swing', 'it', 's', 'a', 'good', 'time', 'to', 'get', 'men', 'thinking', 'about', 'ALL', 'the', 'misperceptions', 'we', 've', 'lived', 'with']",53
2523,2018-03-18,[미국의 식민지에서 벗어나자] - 투표소 수개표로 부정선거 차단하자 #MeToo @LINK ,['[미국의 식민지에서 벗어나자] - 투표소 수개표로 부정선거 차단하자 #MeToo @LINK'],1,9,"['미국의', '식민지에서', '벗어나자', '투표소', '수개표로', '부정선거', '차단하자', 'MeToo', '@LINK']",9
2524,2018-03-18,What She Said! #BeBrave #RiseUp #TimesUp The Real #NeverAgain #MeToo Battle that is being…  @LINK ,"['What She Said!', '#BeBrave #RiseUp #TimesUp The Real #NeverAgain #MeToo Battle that is being…  @LINK']",2,8,"['What', 'She', 'Said', 'BeBrave', 'RiseUp', 'TimesUp', 'The', 'Real', 'NeverAgain', 'MeToo', 'Battle', 'that', 'is', 'being', '@LINK']",15
2525,2018-03-18,The latest The DemonLeaks Daily!  @LINK … #metoo,"['The latest The DemonLeaks Daily!', '@LINK\xa0… #metoo']",2,4,"['The', 'latest', 'The', 'DemonLeaks', 'Daily', '@LINK', 'metoo']",7
2526,2018-03-18,"Listen: The #MeToo movement is beginning to address the wrongs of carceral feminism, which sees law enforcement as the primary solution to gender-based violence, through a more democratized process of addressing injustice.  @LINK ","['Listen: The #MeToo movement is beginning to address the wrongs of carceral feminism, which sees law enforcement as the primary solution to gender-based violence, through a more democratized process of addressing injustice.', '@LINK']",2,17,"['Listen', 'The', 'MeToo', 'movement', 'is', 'beginning', 'to', 'address', 'the', 'wrongs', 'of', 'carceral', 'feminism', 'which', 'sees', 'law', 'enforcement', 'as', 'the', 'primary', 'solution', 'to', 'gender', 'based', 'violence', 'through', 'a', 'more', 'democratized', 'process', 'of', 'addressing', 'injustice', '@LINK']",34
2527,2018-03-18,40 Jahre Altersunterschied haben sich endlich ausgezahlt...Erbmonarchie ist wohl in der SPD noch nicht abgeschafft.... Wenn in 10 Jahren die politische Karriere nicht mehr so läuft kann die Kindergärtnerin ja die metoo Schiene auspacken #metoo #spd #erbmonarchie pic.twitter.com/qQ3b9JHqxo,['40 Jahre Altersunterschied haben sich endlich ausgezahlt...Erbmonarchie ist wohl in der SPD noch nicht abgeschafft.... Wenn in 10 Jahren die politische Karriere nicht mehr so läuft kann die Kindergärtnerin ja die metoo Schiene auspacken #metoo #spd #erbmonarchie pic.twitter.com/qQ3b9JHqxo'],1,42,"['40', 'Jahre', 'Altersunterschied', 'haben', 'sich', 'endlich', 'ausgezahlt', 'Erbmonarchie', 'ist', 'wohl', 'in', 'der', 'SPD', 'noch', 'nicht', 'abgeschafft', 'Wenn', 'in', '10', 'Jahren', 'die', 'politische', 'Karriere', 'nicht', 'mehr', 'so', 'läuft', 'kann', 'die', 'Kindergärtnerin', 'ja', 'die', 'metoo', 'Schiene', 'auspacken', 'metoo', 'spd', 'erbmonarchie', 'pic', 'twitter', 'com', 'qQ3b9JHqxo']",42
2528,2018-03-18,"Bla bla bla bla bla #meetoo* bla bla bla bla, bla bla bla. Bla. Bla bla, bla. Bla bla bla bla bla, bla bla bla. Bla bla bla bla bla bla bla bla. Bla bla bla bla 'blaaaah'.- Karl* #MeToo  @LINK …","['Bla bla bla bla bla #meetoo* bla bla bla bla, bla bla bla.', 'Bla.', 'Bla bla, bla.', 'Bla bla bla bla bla, bla bla bla.', 'Bla bla bla bla bla bla bla bla.', ""Bla bla bla bla 'blaaaah'.- Karl* #MeToo  @LINK\xa0…""]",6,7,"['Bla', 'bla', 'bla', 'bla', 'bla', 'meetoo', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'Bla', 'Bla', 'bla', 'bla', 'Bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'Bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'bla', 'Bla', 'bla', 'bla', 'bla', 'blaaaah', 'Karl', 'MeToo', '@LINK']",41
2529,2018-03-18,This is real oppression and it’s scary af. Where are the @MENTION and #MeToo? Y’all gonna speak out about this or keep pretending that women have it so much worse in the US?  @LINK …,"['This is real oppression and it’s scary af.', 'Where are the @MENTION and #MeToo?', 'Y’all gonna speak out about this or keep pretending that women have it so much worse in the US?', '@LINK\xa0…']",4,9,"['This', 'is', 'real', 'oppression', 'and', 'it', 's', 'scary', 'af', 'Where', 'are', 'the', '@MENTION', 'and', 'MeToo', 'Y', 'all', 'gonna', 'speak', 'out', 'about', 'this', 'or', 'keep', 'pretending', 'that', 'women', 'have', 'it', 'so', 'much', 'worse', 'in', 'the', 'US', '@LINK']",36
2530,2018-03-18,#metoo #timesup NRI Bikram Choudhury  judiciary $8 million ARREST warrant YET he is  CHIEF GUEST of Bengal authorities!!  SHOCKING fugitive sex predator  fake “guru “ roaming freely Calcutta  airport today customs be arresting him not posing selfies pic.twitter.com/pMVMNJIjLe,"['#metoo #timesup NRI Bikram Choudhury  judiciary $8 million ARREST warrant YET he is  CHIEF GUEST of Bengal authorities!!', 'SHOCKING fugitive sex predator  fake “guru “ roaming freely Calcutta  airport today customs be arresting him not posing selfies pic.twitter.com/pMVMNJIjLe']",2,20,"['metoo', 'timesup', 'NRI', 'Bikram', 'Choudhury', 'judiciary', '8', 'million', 'ARREST', 'warrant', 'YET', 'he', 'is', 'CHIEF', 'GUEST', 'of', 'Bengal', 'authorities', 'SHOCKING', 'fugitive', 'sex', 'predator', 'fake', 'guru', 'roaming', 'freely', 'Calcutta', 'airport', 'today', 'customs', 'be', 'arresting', 'him', 'not', 'posing', 'selfies', 'pic', 'twitter', 'com', 'pMVMNJIjLe']",40
2531,2018-03-18,SNL really doesn’t know how to deal with #MeToo,['SNL really doesn’t know how to deal with #MeToo'],1,10,"['SNL', 'really', 'doesn', 't', 'know', 'how', 'to', 'deal', 'with', 'MeToo']",10
