,date,HASHTAG,count_hashtag
374,2018-09-12,"['MYTAUCKLAND', 'RIPMAC', 'RISEFORCLIMATE', 'SKODAINDIA', 'ENGVIND', 'AFLSWANSGIANTS', 'GALAXYA8STAR', 'TEACHERSPET', 'ASKACURATOR', 'GETTHEV11PRO', 'SUNRISE18', 'WORLDSUICIDEPREVENTIONDAY', 'MACMILLER']",13
375,2018-09-12,"['GETTHEV11PRO', 'SUNRISE18', 'ASKACURATOR', 'WORLDSUICIDEPREVENTIONDAY', 'MACMILLER', 'MYTAUCKLAND', 'RIPMAC', 'RISEFORCLIMATE', 'SKODAINDIA', 'ENGVIND', 'AFLSWANSGIANTS', 'GALAXYA8STAR', 'TEACHERSPET']",13
376,2018-09-12,"['GETTHEV11PRO', 'SUNRISE18', 'ASKACURATOR', 'WORLDSUICIDEPREVENTIONDAY', 'MACMILLER', 'MYTAUCKLAND', 'RIPMAC', 'RISEFORCLIMATE', 'SKODAINDIA', 'ENGVIND', 'AFLSWANSGIANTS', 'GALAXYA8STAR', 'TEACHERSPET']",13
378,2018-09-10,['米兔'],1
380,2018-09-10,"['京东', '刘强东', '金盛集团', '中国经济', 'USA', 'KOREA']",6
386,2018-09-10,"['性骚扰', '性侵害', '蒐证调查', '心理咨商', '立达征信社']",5
387,2018-09-09,['LESLIEMOONVES'],1
390,2018-09-08,"['米兔', '性骚扰']",2
392,2018-09-08,"['U20WWC', 'THEBACHELORAU', 'GOOGLEPAYLEIDERS', 'GETONBOARDQLD', 'ANZSPM18', 'MACMILLER', 'MYTAUCKLAND', 'RIPMAC', 'RISEFORCLIMATE', 'FAIRFUNDINGNOW', 'SKODAINDIA', 'AFLSWANSGIANTS', 'NRLPANTHERSWARRIORS', 'NRLW', 'GOSWANS', 'BEGIANT', 'MASTERCHEFAU', '7NEWS']",18
393,2018-09-08,"['U20WWC', 'THEBACHELORAU', 'GOOGLEPAYLEIDERS', 'GETONBOARDQLD', 'ANZSPM18', 'MACMILLER', 'MYTAUCKLAND', 'RIPMAC', 'RISEFORCLIMATE', 'FAIRFUNDINGNOW', 'SKODAINDIA', 'AFLSWANSGIANTS', 'NRLPANTHERSWARRIORS', 'NRLW', 'GOSWANS']",15
394,2018-09-08,"['U20WWC', 'YAMATO2202', 'CROENG', 'THEBACHELORAU', 'GOOGLEPAYLEIDERS', 'GETONBOARDQLD', 'ANZSPM18', 'MACMILLER', 'MYTAUCKLAND', 'RIPMAC', 'RISEFORCLIMATE', 'FAIRFUNDINGNOW', 'SKODAINDIA', 'AFLSWANSGIANTS', 'NRLPANTHERSWARRIORS', 'NRLW', 'GOSWANS']",17
395,2018-09-07,"['GETONBOARDQLD', 'MUFC', 'ANZSPM18', 'MACMILLER', 'MASTERCHEFAU', '7NEWS', 'MYTAUCKLAND', 'RIPMAC', 'RISEFORCLIMATE', 'FAIRFUNDINGNOW', 'U20WWC', 'YAMATO2202', '9NEWS', 'CROENG', 'THEBACHELORAU', 'QANDA', 'GOOGLEPAY']",17
396,2018-09-07,['NOTME'],1
397,2018-09-07,['米兔'],1
398,2018-09-07,['NOTME'],1
399,2018-09-07,['米兔'],1
400,2018-09-07,['MEETOO'],1
401,2018-09-07,['NOTME'],1
403,2018-09-06,['NOTME'],1
404,2018-09-06,"['朱军性骚扰', '米兔']",2
406,2018-09-06,['METOOCHINA'],1
407,2018-09-06,"['GETONBOARDQLD', 'MUFC', 'BTSPORTSCORE', 'CRAZYRICHASIANS', 'MASTERCHEFAU', '7NEWS', 'MYTAUCKLAND', 'PAYPAL', 'CASHAPP', 'FAIRFUNDINGNOW', 'U20WWC', 'YAMATO2202', '9NEWS', 'CROENG', 'THEBACHELORAU', 'QANDA', 'GOOGLEPAY']",17
408,2018-09-05,['疼痛之墙'],1
409,2018-09-05,"['DESIGNABAGEVERYDAY', 'FASHIONNOVA', 'FASHIONWEEK', 'FASHIONMUSICBOOK', 'LUXURY', 'DESIGNER', 'STYLEBOOK', 'STYLE', 'STYLEBLOGGER', 'STYLEINSPIRATION', 'STYLEBOOK', 'LOOKBOOKLOOKBOOK', 'LOOKBOOK', 'VOGUE', 'LOOKINGFORLOVE']",15
412,2018-09-05,['米兔'],1
415,2018-09-04,"['GETONBOARDQLD', 'MUFC', 'BTSPORTSCORE', 'CRAZYRICHASIANS', 'MASTERCHEFAU', '7NEWS', 'MYTAUCKLAND', 'SPRINGST', 'AUSPOL', 'FAIRFUNDINGNOW', 'U20WWC', '7NEWSMELB', '9NEWS', 'CROENG', 'THEBACHELORAU', 'QANDA', 'GOOGLEPAY']",17
